GAME_DATE,ATTENDANCE,GAME_TIME,game_id
"SATURDAY, NOVEMBER 14, 2015",18717,2:55,0021500001
"SATURDAY, NOVEMBER 14, 2015",18418,2:06,0021500001
"SATURDAY, NOVEMBER 14, 2015",16722,2:07,0021500001
"SATURDAY, NOVEMBER 14, 2015",19596,2:18,0021500001
"SUNDAY, NOVEMBER 15, 2015",19812,2:12,0021500001
"SUNDAY, NOVEMBER 15, 2015",12086,2:17,0021500001
"SUNDAY, NOVEMBER 15, 2015",15317,2:10,0021500001
"SUNDAY, NOVEMBER 15, 2015",14436,2:17,0021500001
"SUNDAY, NOVEMBER 15, 2015",18203,2:13,0021500001
"SUNDAY, NOVEMBER 15, 2015",17006,2:14,0021500001
"SUNDAY, NOVEMBER 15, 2015",18997,2:19,0021500001
"MONDAY, NOVEMBER 16, 2015",11555,2:22,0021500001
"MONDAY, NOVEMBER 16, 2015",21660,2:16,0021500001
"MONDAY, NOVEMBER 16, 2015",17005,2:13,0021500001
"MONDAY, NOVEMBER 16, 2015",17270,2:32,0021500001
"MONDAY, NOVEMBER 16, 2015",18418,1:59,0021500001
"MONDAY, NOVEMBER 16, 2015",18055,2:06,0021500001
"TUESDAY, NOVEMBER 17, 2015",15485,2:11,0021500001
"TUESDAY, NOVEMBER 17, 2015",12241,2:06,0021500001
"TUESDAY, NOVEMBER 17, 2015",18442,2:22,0021500001
"TUESDAY, NOVEMBER 17, 2015",19600,2:21,0021500001
"TUESDAY, NOVEMBER 17, 2015",19812,2:15,0021500001
"TUESDAY, NOVEMBER 17, 2015",17269,2:04,0021500001
"TUESDAY, NOVEMBER 17, 2015",19596,2:26,0021500001
"WEDNESDAY, NOVEMBER 18, 2015",14040,2:15,0021500001
"WEDNESDAY, NOVEMBER 18, 2015",16048,2:44,0021500001
"WEDNESDAY, NOVEMBER 18, 2015",11080,2:11,0021500001
"WEDNESDAY, NOVEMBER 18, 2015",17262,2:25,0021500001
"WEDNESDAY, NOVEMBER 18, 2015",13008,2:10,0021500001
"WEDNESDAY, NOVEMBER 18, 2015",17107,2:40,0021500001
"WEDNESDAY, NOVEMBER 18, 2015",18203,2:21,0021500001
"WEDNESDAY, NOVEMBER 18, 2015",18418,1:60,0021500001
"WEDNESDAY, NOVEMBER 18, 2015",18741,2:16,0021500001
"WEDNESDAY, NOVEMBER 18, 2015",17377,2:14,0021500001
"THURSDAY, NOVEMBER 19, 2015",19600,2:20,0021500001
"THURSDAY, NOVEMBER 19, 2015",20562,2:29,0021500001
"THURSDAY, NOVEMBER 19, 2015",19528,2:32,0021500001
"FRIDAY, NOVEMBER 20, 2015",17926,2:07,0021500001
"FRIDAY, NOVEMBER 20, 2015",18361,2:02,0021500001
"FRIDAY, NOVEMBER 20, 2015",17555,2:15,0021500001
"FRIDAY, NOVEMBER 20, 2015",13445,2:11,0021500001
"FRIDAY, NOVEMBER 20, 2015",16698,2:11,0021500001
"FRIDAY, NOVEMBER 20, 2015",18203,2:15,0021500001
"FRIDAY, NOVEMBER 20, 2015",20028,2:04,0021500001
"FRIDAY, NOVEMBER 20, 2015",12264,2:22,0021500001
"FRIDAY, NOVEMBER 20, 2015",19393,2:23,0021500001
"FRIDAY, NOVEMBER 20, 2015",19596,2:16,0021500001
"FRIDAY, NOVEMBER 20, 2015",18997,2:06,0021500001
"SATURDAY, NOVEMBER 21, 2015",16104,2:09,0021500001
"SATURDAY, NOVEMBER 21, 2015",17137,2:03,0021500001
