"CLOSE_DEF_PERSON_ID","GP","G","DEFENSE_CATEGORY","FREQ","D_FGM","D_FGA","D_FG_PCT","NORMAL_FG_PCT","PCT_PLUSMINUS","DEF_PERSON_NAME"
"202681","53","53","2 Pointers","0.656","2.70","5.68","0.475","0.477","-0.002","Kyrie Irving"
"202681","53","47","Less Than 6 Ft","0.257","1.43","2.23","0.644","0.590"," 0.054","Kyrie Irving"
"202681","53","49","Less Than 10 Ft","0.394","1.87","3.42","0.547","0.536"," 0.011","Kyrie Irving"
"202681","53","52","Greater Than 15 Ft","0.519","1.58","4.49","0.353","0.365","-0.012","Kyrie Irving"
"2544","76","76","Overall","1.000","3.16","8.43","0.374","0.448","-0.073","LeBron James"
"2544","76","74","3 Pointers","0.384","1.04","3.24","0.321","0.348","-0.027","LeBron James"
"2544","76","75","2 Pointers","0.616","2.12","5.20","0.408","0.490","-0.082","LeBron James"
"2544","76","68","Less Than 6 Ft","0.270","1.11","2.28","0.486","0.600","-0.114","LeBron James"
"2544","76","72","Less Than 10 Ft","0.348","1.34","2.93","0.457","0.548","-0.090","LeBron James"
"2544","76","75","Greater Than 15 Ft","0.583","1.58","4.92","0.321","0.367","-0.046","LeBron James"
"203521","76","76","Overall","1.000","3.68","8.63","0.427","0.436","-0.009","Matthew Dellavedova"
"203521","76","71","3 Pointers","0.337","0.95","2.91","0.326","0.350","-0.025","Matthew Dellavedova"
"203521","76","76","2 Pointers","0.663","2.74","5.72","0.478","0.474"," 0.004","Matthew Dellavedova"
"203521","76","61","Less Than 6 Ft","0.210","1.26","1.82","0.696","0.592"," 0.104","Matthew Dellavedova"
"203521","76","68","Less Than 10 Ft","0.329","1.68","2.84","0.593","0.534"," 0.058","Matthew Dellavedova"
"203521","76","76","Greater Than 15 Ft","0.582","1.70","5.03","0.338","0.366","-0.029","Matthew Dellavedova"
"2590","37","37","Overall","1.000","2.54","5.86","0.433","0.438","-0.004","Mo Williams"
"2590","37","29","3 Pointers","0.341","0.76","2.00","0.378","0.341"," 0.037","Mo Williams"
"2590","37","36","2 Pointers","0.659","1.78","3.86","0.462","0.474","-0.012","Mo Williams"
"2590","37","23","Less Than 6 Ft","0.189","0.73","1.11","0.659","0.584"," 0.074","Mo Williams"
"2590","37","31","Less Than 10 Ft","0.300","0.97","1.76","0.554","0.533"," 0.021","Mo Williams"
"2590","37","32","Greater Than 15 Ft","0.590","1.32","3.46","0.383","0.366"," 0.017","Mo Williams"
"2210","73","73","Overall","1.000","2.47","5.77","0.428","0.434","-0.006","Richard Jefferson"
"2210","73","65","3 Pointers","0.420","0.89","2.42","0.367","0.353"," 0.014","Richard Jefferson"
"2210","73","70","2 Pointers","0.580","1.58","3.34","0.471","0.477","-0.006","Richard Jefferson"
"2210","73","50","Less Than 6 Ft","0.207","0.85","1.19","0.713","0.607"," 0.106","Richard Jefferson"
"2210","73","56","Less Than 10 Ft","0.297","1.03","1.71","0.600","0.544"," 0.056","Richard Jefferson"
"2210","73","68","Greater Than 15 Ft","0.632","1.29","3.64","0.353","0.365","-0.012","Richard Jefferson"
"201619","16","16","Overall","1.000","0.88","1.94","0.452","0.449"," 0.002","Sasha Kaun"
"201619","16"," 3","3 Pointers","0.097","0.06","0.19","0.333","0.198"," 0.135","Sasha Kaun"
"201619","16","13","2 Pointers","0.903","0.81","1.75","0.464","0.478","-0.014","Sasha Kaun"
"201619","16"," 9","Less Than 6 Ft","0.484","0.50","0.94","0.533","0.576","-0.042","Sasha Kaun"
"201619","16","10","Less Than 10 Ft","0.613","0.63","1.19","0.526","0.524"," 0.003","Sasha Kaun"
"201619","16"," 8","Greater Than 15 Ft","0.355","0.19","0.69","0.273","0.330","-0.057","Sasha Kaun"
"202389","75","75","Overall","1.000","4.01","9.05","0.443","0.477","-0.033","Timofey Mozgov"
"202389","75","42","3 Pointers","0.110","0.27","1.00","0.267","0.352","-0.085","Timofey Mozgov"
"202389","75","75","2 Pointers","0.890","3.75","8.05","0.465","0.501","-0.036","Timofey Mozgov"
"202389","75","71","Less Than 6 Ft","0.414","2.03","3.75","0.541","0.610","-0.069","Timofey Mozgov"
"202389","75","74","Less Than 10 Ft","0.607","2.73","5.49","0.498","0.552","-0.055","Timofey Mozgov"
"202389","75","65","Greater Than 15 Ft","0.305","0.89","2.76","0.324","0.376","-0.053","Timofey Mozgov"
"202684","81","81","Overall","1.000","5.78","12.40","0.466","0.462"," 0.004","Tristan Thompson"
"202684","81","67","3 Pointers","0.166","0.65"," 2.06","0.317","0.350","-0.033","Tristan Thompson"
"202684","81","81","2 Pointers","0.834","5.12","10.33","0.496","0.492"," 0.004","Tristan Thompson"
"202684","81","78","Less Than 6 Ft","0.396","2.94"," 4.91","0.598","0.596"," 0.002","Tristan Thompson"
"202684","81","81","Less Than 10 Ft","0.563","3.68"," 6.98","0.527","0.543","-0.015","Tristan Thompson"
"202684","81","79","Greater Than 15 Ft","0.340","1.58"," 4.21","0.375","0.374"," 0.002","Tristan Thompson"
