GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TOV,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,PACE,PIE
0021500006,1610612741,Bulls,CHI,Chicago,240:00,113.0,97.7,15.2,0.476,1.0,15.8,0.147,0.68,0.464,0.196,0.628,0.662,0.198,102.06,0.558
0021500006,1610612751,Nets,BKN,Brooklyn,240:00,97.7,113.0,-15.2,0.487,1.46,13.8,0.32,0.853,0.536,0.127,0.419,0.475,0.2,102.06,0.442
0021500007,1610612762,Jazz,UTA,Utah,240:00,94.3,99.0,-4.6,0.429,1.25,13.5,0.103,0.81,0.469,0.13,0.48,0.516,0.2,92.6,0.482
0021500007,1610612765,Pistons,DET,Detroit,240:00,99.0,94.3,4.6,0.533,1.33,13.7,0.19,0.897,0.531,0.129,0.453,0.517,0.196,92.6,0.518
0021500008,1610612748,Heat,MIA,Miami,240:00,111.5,99.2,12.3,0.639,1.77,19.5,0.059,0.78,0.488,0.139,0.575,0.632,0.2,94.0,0.591
0021500008,1610612766,Hornets,CHA,Charlotte,240:00,99.2,111.5,-12.3,0.485,1.78,13.1,0.22,0.941,0.512,0.095,0.429,0.486,0.198,94.0,0.409
0021500009,1610612761,Raptors,TOR,Toronto,240:00,97.1,94.6,2.5,0.528,0.9,13.9,0.22,0.837,0.556,0.192,0.494,0.545,0.198,106.9,0.523
0021500009,1610612754,Pacers,IND,Indiana,240:00,94.6,97.1,-2.5,0.719,1.77,17.0,0.163,0.78,0.444,0.124,0.424,0.497,0.2,106.9,0.477
0021500010,1610612745,Rockets,HOU,Houston,240:00,84.6,106.1,-21.5,0.567,1.0,12.8,0.273,0.763,0.473,0.169,0.391,0.432,0.198,99.68,0.354
0021500010,1610612743,Nuggets,DEN,Denver,240:00,106.1,84.6,21.5,0.65,1.24,19.4,0.237,0.727,0.527,0.212,0.589,0.604,0.2,99.68,0.646
0021500011,1610612763,Grizzlies,MEM,Memphis,240:00,78.6,107.6,-29.0,0.517,0.94,12.2,0.208,0.707,0.426,0.165,0.366,0.414,0.2,97.58,0.3
0021500011,1610612739,Cavaliers,CLE,Cleveland,240:00,107.6,78.6,29.0,0.707,1.53,20.8,0.293,0.792,0.574,0.193,0.565,0.579,0.2,97.58,0.7
0021500012,1610612752,Knicks,NYK,New York,240:00,121.5,97.4,24.2,0.571,2.18,16.7,0.396,0.625,0.51,0.11,0.5,0.563,0.2,100.02,0.646
0021500012,1610612749,Bucks,MIL,Milwaukee,240:00,97.4,121.5,-24.2,0.567,0.94,12.6,0.375,0.604,0.49,0.181,0.401,0.487,0.2,100.02,0.354
0021500013,1610612759,Spurs,SAS,San Antonio,240:00,101.2,108.0,-6.8,0.489,1.69,16.5,0.171,0.725,0.444,0.124,0.511,0.537,0.2,104.2,0.491
0021500013,1610612760,Thunder,OKC,Oklahoma City,240:00,108.0,101.2,6.8,0.5,1.11,15.5,0.275,0.829,0.556,0.183,0.529,0.585,0.2,104.2,0.509
0021500014,1610612756,Suns,PHX,Phoenix,240:00,89.2,110.3,-21.1,0.441,0.83,11.2,0.236,0.87,0.525,0.169,0.425,0.468,0.2,103.58,0.323
0021500014,1610612742,Mavericks,DAL,Dallas,240:00,110.3,89.2,21.1,0.6,3.0,18.4,0.13,0.764,0.475,0.079,0.529,0.563,0.2,103.58,0.677
0021500015,1610612757,Trail Blazers,POR,Portland,240:00,111.8,89.6,22.2,0.5,1.83,17.2,0.15,0.9,0.567,0.12,0.568,0.595,0.2,102.54,0.624
