PLAYER_ID,PLAYER_NAME_LAST_FIRST,TEAM_NAME,TEAM_ID,PASS_TYPE,G,PASS_TO,PASS_TEAMMATE_PLAYER_ID,FREQUENCY,PASS,AST,FGM,FGA,FG_PCT,FG2M,FG2A,FG2_PCT,FG3M,FG3A,FG3_PCT
203200.0,"Holiday, Justin",Atlanta Hawks,1610612737.0,made,51.0,"Scott, Mike",203118.0,0.027,0.31,0.08,0.08,0.1,0.8,0.06,0.06,1.0,0.02,0.04,0.5
203200.0,"Holiday, Justin",Atlanta Hawks,1610612737.0,made,51.0,"Horford, Al",201143.0,0.024,0.27,0.0,0.0,0.04,0.0,0.0,0.04,0.0,0.0,0.0,
203200.0,"Holiday, Justin",Atlanta Hawks,1610612737.0,made,51.0,"Korver, Kyle",2594.0,0.019,0.22,0.02,0.02,0.02,1.0,0.0,0.0,,0.02,0.02,1.0
203200.0,"Holiday, Justin",Atlanta Hawks,1610612737.0,made,51.0,"Hardaway Jr., Tim",203501.0,0.017,0.2,0.0,0.0,0.02,0.0,0.0,0.0,,0.0,0.02,0.0
203200.0,"Holiday, Justin",Atlanta Hawks,1610612737.0,made,51.0,"Millsap, Paul",200794.0,0.017,0.2,0.02,0.02,0.06,0.333,0.02,0.06,0.333,0.0,0.0,
203200.0,"Holiday, Justin",Atlanta Hawks,1610612737.0,made,51.0,"Sefolosha, Thabo",200757.0,0.015,0.18,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,
203200.0,"Holiday, Justin",Atlanta Hawks,1610612737.0,made,51.0,"Splitter, Tiago",201168.0,0.015,0.18,0.02,0.02,0.04,0.5,0.02,0.04,0.5,0.0,0.0,
203200.0,"Holiday, Justin",Atlanta Hawks,1610612737.0,made,51.0,"Patterson, Lamar",203934.0,0.009,0.1,0.02,0.02,0.06,0.333,0.0,0.02,0.0,0.02,0.04,0.5
203200.0,"Holiday, Justin",Atlanta Hawks,1610612737.0,made,51.0,"Bazemore, Kent",203145.0,0.007,0.08,0.02,0.02,0.02,1.0,0.0,0.0,,0.02,0.02,1.0
203200.0,"Holiday, Justin",Atlanta Hawks,1610612737.0,made,51.0,"Tavares, Walter",204002.0,0.002,0.02,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,
203200.0,"Holiday, Justin",Chicago Bulls,1610612741.0,made,51.0,"Mirotic, Nikola",202703.0,0.098,1.12,0.1,0.14,0.29,0.467,0.1,0.18,0.556,0.04,0.12,0.333
203200.0,"Holiday, Justin",Chicago Bulls,1610612741.0,made,51.0,"McDermott, Doug",203926.0,0.084,0.96,0.27,0.27,0.47,0.583,0.22,0.31,0.688,0.06,0.16,0.375
203200.0,"Holiday, Justin",Chicago Bulls,1610612741.0,made,51.0,"Brooks, Aaron",201166.0,0.08,0.92,0.04,0.12,0.22,0.545,0.06,0.14,0.429,0.06,0.08,0.75
203200.0,"Holiday, Justin",Chicago Bulls,1610612741.0,made,51.0,"Felicio, Cristiano",1626245.0,0.077,0.88,0.16,0.16,0.27,0.571,0.16,0.27,0.571,0.0,0.0,
