GROUP_SET,PLAYER_ID,PLAYER_NAME,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,EFG_PCT,BLKA,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM,CFID,CFPARAMS
Assisted By,202710.0,"Butler, Jimmy",8.0,8.0,1.0,3.0,3.0,1.0,1.188,0.0,1.0,0.0,1.0,0.0,1.0,0.0,45.0,202710
Assisted By,2200.0,"Gasol, Pau",3.0,3.0,1.0,1.0,1.0,1.0,1.167,0.0,1.0,0.0,1.0,0.0,1.0,0.0,45.0,2200
Assisted By,201959.0,"Gibson, Taj",4.0,4.0,1.0,3.0,3.0,1.0,1.375,0.0,1.0,0.0,1.0,0.0,1.0,0.0,45.0,201959
Assisted By,203501.0,"Hardaway Jr., Tim",1.0,1.0,1.0,1.0,1.0,1.0,1.5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,45.0,203501
Assisted By,202703.0,"Mirotic, Nikola",4.0,4.0,1.0,4.0,4.0,1.0,1.5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,45.0,202703
Assisted By,201149.0,"Noah, Joakim",3.0,3.0,1.0,2.0,2.0,1.0,1.333,0.0,1.0,0.0,1.0,0.0,1.0,0.0,45.0,201149
Assisted By,1626171.0,"Portis, Bobby",1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,45.0,1626171
Assisted By,201565.0,"Rose, Derrick",1.0,1.0,1.0,1.0,1.0,1.0,1.5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,45.0,201565
Assisted By,203503.0,"Snell, Tony",1.0,1.0,1.0,1.0,1.0,1.0,1.5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,45.0,203503
Assisted By,204002.0,"Tavares, Walter",1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,45.0,204002
Assisted By,203078.0,"Beal, Bradley",3.0,3.0,1.0,1.0,1.0,1.0,1.167,0.0,1.0,0.0,1.0,0.0,1.0,0.0,45.0,203078
Assisted By,201971.0,"Blair, DeJuan",1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,45.0,201971
Assisted By,1626164.0,"Booker, Devin",2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,45.0,1626164
Assisted By,101162.0,"Gortat, Marcin",1.0,1.0,1.0,1.0,1.0,1.0,1.5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,45.0,101162
Assisted By,203501.0,"Hardaway Jr., Tim",4.0,4.0,1.0,2.0,2.0,1.0,1.25,0.0,1.0,0.0,1.0,0.0,1.0,0.0,45.0,203501
Assisted By,2550.0,"Hinrich, Kirk",5.0,5.0,1.0,1.0,1.0,1.0,1.1,0.0,1.0,0.0,1.0,0.0,1.0,0.0,45.0,2550
Assisted By,2594.0,"Korver, Kyle",3.0,3.0,1.0,1.0,1.0,1.0,1.167,0.0,1.0,0.0,1.0,0.0,1.0,0.0,45.0,2594
Assisted By,202720.0,"Leuer, Jon",1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,45.0,202720
Assisted By,203895.0,"McRae, Jordan",1.0,1.0,1.0,1.0,1.0,1.0,1.5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,45.0,203895
Assisted By,200794.0,"Millsap, Paul",6.0,6.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,45.0,200794
Assisted By,203488.0,"Muscala, Mike",2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,45.0,203488
Assisted By,202390.0,"Neal, Gary",2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,45.0,202390
Assisted By,1626162.0,"Oubre, Kelly",1.0,1.0,1.0,1.0,1.0,1.0,1.5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,45.0,1626162
Assisted By,203490.0,"Porter, Otto",5.0,5.0,1.0,1.0,1.0,1.0,1.1,0.0,1.0,0.0,1.0,0.0,1.0,0.0,45.0,203490
Assisted By,203515.0,"Pressey, Phil",3.0,3.0,1.0,1.0,1.0,1.0,1.167,0.0,1.0,0.0,1.0,0.0,1.0,0.0,45.0,203515
Assisted By,101179.0,"Price, Ronnie",1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,45.0,101179
Assisted By,203471.0,"Schroder, Dennis",6.0,6.0,1.0,3.0,3.0,1.0,1.25,0.0,1.0,0.0,1.0,0.0,1.0,0.0,45.0,203471
Assisted By,200757.0,"Sefolosha, Thabo",5.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,45.0,200757
Assisted By,201196.0,"Sessions, Ramon",11.0,11.0,1.0,4.0,4.0,1.0,1.182,0.0,1.0,0.0,1.0,0.0,1.0,0.0,45.0,201196
Assisted By,201952.0,"Teague, Jeff",8.0,8.0,1.0,1.0,1.0,1.0,1.063,0.0,1.0,0.0,1.0,0.0,1.0,0.0,45.0,201952
Assisted By,203141.0,"Teletovic, Mirza",1.0,1.0,1.0,1.0,1.0,1.0,1.5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,45.0,203141
Assisted By,202066.0,"Temple, Garrett",4.0,4.0,1.0,1.0,1.0,1.0,1.125,0.0,1.0,0.0,1.0,0.0,1.0,0.0,45.0,202066
Assisted By,202322.0,"Wall, John",24.0,24.0,1.0,12.0,12.0,1.0,1.25,0.0,1.0,0.0,1.0,0.0,1.0,0.0,45.0,202322
Assisted By,203145.0,"Bazemore, Kent",21.0,21.0,1.0,15.0,15.0,1.0,1.357,0.0,1.0,0.0,1.0,0.0,1.0,0.0,45.0,203145
