"GAME_ID","GAME_DATE","MATCHUP","HomeTeam","AwayTeam","HomeTeam_WL"
21500223,"2015-11-25","OKC vs. BKN","OKC","BKN","W"
21500224,"2015-11-25","SAS vs. DAL","SAS","DAL","W"
21500225,"2015-11-25","PHX vs. NOP","PHX","NOP","L"
21500226,"2015-11-25","LAC vs. UTA","LAC","UTA","L"
21500227,"2015-11-27","CHA vs. CLE","CHA","CLE","L"
21500228,"2015-11-27","ORL vs. MIL","ORL","MIL","W"
21500229,"2015-11-27","BOS vs. WAS","BOS","WAS","W"
21500230,"2015-11-27","NYK vs. MIA","NYK","MIA","L"
21500231,"2015-11-27","IND vs. CHI","IND","CHI","W"
21500232,"2015-11-27","HOU vs. PHI","HOU","PHI","W"
21500233,"2015-11-27","MEM vs. ATL","MEM","ATL","L"
21500234,"2015-11-27","OKC vs. DET","OKC","DET","W"
21500235,"2015-11-27","DEN vs. SAS","DEN","SAS","L"
21500236,"2015-11-27","PHX vs. GSW","PHX","GSW","L"
21500237,"2015-11-27","SAC vs. MIN","SAC","MIN","L"
21500238,"2015-11-27","LAC vs. NOP","LAC","NOP","W"
21500239,"2015-11-28","WAS vs. TOR","WAS","TOR","L"
21500240,"2015-11-28","CLE vs. BKN","CLE","BKN","W"
21500241,"2015-11-28","DAL vs. DEN","DAL","DEN","W"
21500242,"2015-11-28","SAS vs. ATL","SAS","ATL","W"
21500243,"2015-11-28","UTA vs. NOP","UTA","NOP","W"
21500244,"2015-11-28","POR vs. LAL","POR","LAL","W"
21500245,"2015-11-28","GSW vs. SAC","GSW","SAC","W"
21500246,"2015-11-29","CHA vs. MIL","CHA","MIL","W"
21500247,"2015-11-29","LAC vs. MIN","LAC","MIN","W"
21500248,"2015-11-29","BKN vs. DET","BKN","DET","W"
21500249,"2015-11-29","ORL vs. BOS","ORL","BOS","W"
21500250,"2015-11-29","TOR vs. PHX","TOR","PHX","L"
21500251,"2015-11-29","MEM vs. PHI","MEM","PHI","W"
21500252,"2015-11-29","NYK vs. HOU","NYK","HOU","L"
21500253,"2015-11-29","LAL vs. IND","LAL","IND","L"
21500254,"2015-11-30","DET vs. HOU","DET","HOU","W"
21500255,"2015-11-30","MIA vs. BOS","MIA","BOS","L"
21500256,"2015-11-30","ATL vs. OKC","ATL","OKC","W"
21500257,"2015-11-30","CHI vs. SAS","CHI","SAS","W"
21500258,"2015-11-30","MIL vs. DEN","MIL","DEN","W"
21500259,"2015-11-30","UTA vs. GSW","UTA","GSW","L"
21500260,"2015-11-30","SAC vs. DAL","SAC","DAL","W"
21500261,"2015-11-30","LAC vs. POR","LAC","POR","W"
21500262,"2015-12-01","CLE vs. WAS","CLE","WAS","L"
21500263,"2015-12-01","PHI vs. LAL","PHI","LAL","W"
21500264,"2015-12-01","BKN vs. PHX","BKN","PHX","W"
21500265,"2015-12-01","MIN vs. ORL","MIN","ORL","L"
21500266,"2015-12-01","NOP vs. MEM","NOP","MEM","L"
21500267,"2015-12-01","POR vs. DAL","POR","DAL","L"
21500268,"2015-12-02","CHA vs. GSW","CHA","GSW","L"
21500269,"2015-12-02","WAS vs. LAL","WAS","LAL","L"
21500270,"2015-12-02","DET vs. PHX","DET","PHX","W"
21500271,"2015-12-02","NYK vs. PHI","NYK","PHI","W"
21500272,"2015-12-02","ATL vs. TOR","ATL","TOR","L"
21500273,"2015-12-02","CHI vs. DEN","CHI","DEN","W"
21500274,"2015-12-02","HOU vs. NOP","HOU","NOP","W"
21500275,"2015-12-02","SAS vs. MIL","SAS","MIL","W"
21500276,"2015-12-02","LAC vs. IND","LAC","IND","L"
21500277,"2015-12-03","MIA vs. OKC","MIA","OKC","W"
21500278,"2015-12-03","TOR vs. DEN","TOR","DEN","L"
21500279,"2015-12-03","UTA vs. ORL","UTA","ORL","L"
21500280,"2015-12-03","MEM vs. SAS","MEM","SAS","L"
21500281,"2015-12-03","POR vs. IND","POR","IND","W"
21500282,"2015-12-03","SAC vs. BOS","SAC","BOS","L"
21500283,"2015-12-04","NYK vs. BKN","NYK","BKN","W"
21500284,"2015-12-04","WAS vs. PHX","WAS","PHX","W"
21500285,"2015-12-04","DET vs. MIL","DET","MIL","W"
21500286,"2015-12-04","ATL vs. LAL","ATL","LAL","W"
21500287,"2015-12-04","DAL vs. HOU","DAL","HOU","L"
21500288,"2015-12-04","NOP vs. CLE","NOP","CLE","W"
21500289,"2015-12-05","PHI vs. DEN","PHI","DEN","L"
21500290,"2015-12-05","TOR vs. GSW","TOR","GSW","L"
21500291,"2015-12-05","MIA vs. CLE","MIA","CLE","W"
21500292,"2015-12-05","CHI vs. CHA","CHI","CHA","L"
21500293,"2015-12-05","HOU vs. SAC","HOU","SAC","W"
21500294,"2015-12-05","MIN vs. POR","MIN","POR","L"
21500295,"2015-12-05","MIL vs. NYK","MIL","NYK","W"
21500296,"2015-12-05","SAS vs. BOS","SAS","BOS","W"
21500297,"2015-12-05","UTA vs. IND","UTA","IND","W"
21500298,"2015-12-05","LAC vs. ORL","LAC","ORL","W"
21500299,"2015-12-06","MEM vs. PHX","MEM","PHX","W"
21500300,"2015-12-06","BKN vs. GSW","BKN","GSW","L"
21500301,"2015-12-06","DET vs. LAL","DET","LAL","W"
21500302,"2015-12-06","WAS vs. DAL","WAS","DAL","L"
21500303,"2015-12-06","OKC vs. SAC","OKC","SAC","W"
21500304,"2015-12-07","CHA vs. DET","CHA","DET","W"
21500305,"2015-12-07","PHI vs. SAS","PHI","SAS","L"
21500306,"2015-12-07","MIA vs. WAS","MIA","WAS","L"
21500307,"2015-12-07","NYK vs. DAL","NYK","DAL","L"
21500308,"2015-12-07","TOR vs. LAL","TOR","LAL","W"
21500309,"2015-12-07","CHI vs. PHX","CHI","PHX","L"
21500310,"2015-12-07","MIL vs. POR","MIL","POR","W"
21500311,"2015-12-07","MIN vs. LAC","MIN","LAC","L"
21500312,"2015-12-07","NOP vs. BOS","NOP","BOS","L"
21500313,"2015-12-08","CLE vs. POR","CLE","POR","W"
21500314,"2015-12-08","IND vs. GSW","IND","GSW","L"
21500315,"2015-12-08","BKN vs. HOU","BKN","HOU","W"
21500316,"2015-12-08","MEM vs. OKC","MEM","OKC","L"
21500317,"2015-12-08","DEN vs. ORL","DEN","ORL","L"
21500318,"2015-12-08","SAC vs. UTA","SAC","UTA","W"
21500319,"2015-12-09","BOS vs. CHI","BOS","CHI","W"
21500320,"2015-12-09","CHA vs. MIA","CHA","MIA","W"
21500321,"2015-12-09","WAS vs. HOU","WAS","HOU","L"
21500322,"2015-12-09","DET vs. MEM","DET","MEM","L"
21500323,"2015-12-09","TOR vs. SAS","TOR","SAS","W"
21500324,"2015-12-09","MIL vs. LAC","MIL","LAC","L"
21500325,"2015-12-09","MIN vs. LAL","MIN","LAL","W"
21500326,"2015-12-09","PHX vs. ORL","PHX","ORL","W"
21500327,"2015-12-09","UTA vs. NYK","UTA","NYK","W"
21500328,"2015-12-09","DAL vs. ATL","DAL","ATL","L"
21500329,"2015-12-10","BKN vs. PHI","BKN","PHI","W"
21500330,"2015-12-10","CHI vs. LAC","CHI","LAC","W"
21500331,"2015-12-10","OKC vs. ATL","OKC","ATL","W"
21500332,"2015-12-10","SAC vs. NYK","SAC","NYK","W"
21500333,"2015-12-11","IND vs. MIA","IND","MIA","W"
21500334,"2015-12-11","ORL vs. CLE","ORL","CLE","L"
21500335,"2015-12-11","PHI vs. DET","PHI","DET","L"
21500336,"2015-12-11","BOS vs. GSW","BOS","GSW","L"
21500337,"2015-12-11","TOR vs. MIL","TOR","MIL","W"
21500338,"2015-12-11","MEM vs. CHA","MEM","CHA","L"
21500339,"2015-12-11","NOP vs. WAS","NOP","WAS","W"
21500340,"2015-12-11","DEN vs. MIN","DEN","MIN","W"
21500341,"2015-12-11","UTA vs. OKC","UTA","OKC","L"
21500342,"2015-12-11","SAS vs. LAL","SAS","LAL","W"
21500343,"2015-12-11","PHX vs. POR","PHX","POR","L"
21500344,"2015-12-12","BKN vs. LAC","BKN","LAC","L"
21500345,"2015-12-12","CHA vs. BOS","CHA","BOS","L"
21500346,"2015-12-12","DET vs. IND","DET","IND","W"
21500347,"2015-12-12","ATL vs. SAS","ATL","SAS","L"
21500348,"2015-12-12","CHI vs. NOP","CHI","NOP","W"
21500349,"2015-12-12","HOU vs. LAL","HOU","LAL","W"
21500350,"2015-12-12","DAL vs. WAS","DAL","WAS","L"
21500351,"2015-12-12","MIL vs. GSW","MIL","GSW","W"
21500352,"2015-12-12","POR vs. NYK","POR","NYK","L"
21500353,"2015-12-13","PHX vs. MIN","PHX","MIN","W"
21500354,"2015-12-13","MIA vs. MEM","MIA","MEM","W"
21500355,"2015-12-13","TOR vs. PHI","TOR","PHI","W"
21500356,"2015-12-13","OKC vs. UTA","OKC","UTA","W"
21500357,"2015-12-14","IND vs. TOR","IND","TOR","W"
21500358,"2015-12-14","BKN vs. ORL","BKN","ORL","L"
21500359,"2015-12-14","DET vs. LAC","DET","LAC","L"
21500360,"2015-12-14","ATL vs. MIA","ATL","MIA","L"
21500361,"2015-12-14","CHI vs. PHI","CHI","PHI","W"
21500362,"2015-12-14","MEM vs. WAS","MEM","WAS","W"
21500363,"2015-12-14","DAL vs. PHX","DAL","PHX","W"
21500364,"2015-12-14","SAS vs. UTA","SAS","UTA","W"
21500365,"2015-12-14","DEN vs. HOU","DEN","HOU","W"
21500366,"2015-12-14","POR vs. NOP","POR","NOP","W"
21500367,"2015-12-15","BOS vs. CLE","BOS","CLE","L"
21500368,"2015-12-15","MIN vs. DEN","MIN","DEN","L"
21500369,"2015-12-15","SAC vs. HOU","SAC","HOU","W"
21500370,"2015-12-15","LAL vs. MIL","LAL","MIL","W"
21500371,"2015-12-16","IND vs. DAL","IND","DAL","W"
21500372,"2015-12-16","ORL vs. CHA","ORL","CHA","W"
21500373,"2015-12-16","BKN vs. MIA","BKN","MIA","L"
21500374,"2015-12-16","DET vs. BOS","DET","BOS","W"
21500375,"2015-12-16","NYK vs. MIN","NYK","MIN","W"
21500376,"2015-12-16","ATL vs. PHI","ATL","PHI","W"
21500377,"2015-12-16","CHI vs. MEM","CHI","MEM","W"
21500378,"2015-12-16","OKC vs. POR","OKC","POR","W"
21500379,"2015-12-16","SAS vs. WAS","SAS","WAS","W"
21500380,"2015-12-16","UTA vs. NOP","UTA","NOP","L"
21500381,"2015-12-16","GSW vs. PHX","GSW","PHX","W"
21500382,"2015-12-16","LAC vs. MIL","LAC","MIL","W"
21500383,"2015-12-17","CHA vs. TOR","CHA","TOR","W"
21500384,"2015-12-17","CLE vs. OKC","CLE","OKC","W"
21500385,"2015-12-17","LAL vs. HOU","LAL","HOU","L"
21500386,"2015-12-18","IND vs. BKN","IND","BKN","W"
21500387,"2015-12-18","ORL vs. POR","ORL","POR","W"
21500388,"2015-12-18","PHI vs. NYK","PHI","NYK","L"
21500389,"2015-12-18","BOS vs. ATL","BOS","ATL","L"
21500390,"2015-12-18","MIA vs. TOR","MIA","TOR","L"
21500391,"2015-12-18","CHI vs. DET","CHI","DET","L"
21500392,"2015-12-18","MIN vs. SAC","MIN","SAC","W"
21500393,"2015-12-18","SAS vs. LAC","SAS","LAC","W"
21500394,"2015-12-18","DAL vs. MEM","DAL","MEM","W"
21500395,"2015-12-18","UTA vs. DEN","UTA","DEN","W"
21500396,"2015-12-18","PHX vs. NOP","PHX","NOP","W"
21500397,"2015-12-18","GSW vs. MIL","GSW","MIL","W"
21500398,"2015-12-19","OKC vs. LAL","OKC","LAL","W"
21500399,"2015-12-19","WAS vs. CHA","WAS","CHA","W"
21500400,"2015-12-19","NYK vs. CHI","NYK","CHI","W"
21500401,"2015-12-19","HOU vs. LAC","HOU","LAC","W"
21500402,"2015-12-19","MEM vs. IND","MEM","IND","W"
21500403,"2015-12-20","BKN vs. MIN","BKN","MIN","L"
21500404,"2015-12-20","MIA vs. POR","MIA","POR","W"
21500405,"2015-12-20","CLE vs. PHI","CLE","PHI","W"
21500406,"2015-12-20","PHX vs. MIL","PHX","MIL","L"
21500407,"2015-12-20","ORL vs. ATL","ORL","ATL","L"
21500408,"2015-12-20","TOR vs. SAC","TOR","SAC","L"
21500409,"2015-12-20","DEN vs. NOP","DEN","NOP","L"
21500410,"2015-12-21","WAS vs. SAC","WAS","SAC","W"
21500411,"2015-12-21","BOS vs. MIN","BOS","MIN","W"
21500412,"2015-12-21","NYK vs. ORL","NYK","ORL","L"
21500413,"2015-12-21","ATL vs. POR","ATL","POR","W"
21500414,"2015-12-21","CHI vs. BKN","CHI","BKN","L"
21500415,"2015-12-21","HOU vs. CHA","HOU","CHA","W"
21500416,"2015-12-21","SAS vs. IND","SAS","IND","W"
21500417,"2015-12-21","UTA vs. PHX","UTA","PHX","W"
21500418,"2015-12-21","LAC vs. OKC","LAC","OKC","L"
21500419,"2015-12-22","PHI vs. MEM","PHI","MEM","L"
21500420,"2015-12-22","MIA vs. DET","MIA","DET","L"
21500421,"2015-12-22","TOR vs. DAL","TOR","DAL","W"
21500422,"2015-12-22","DEN vs. LAL","DEN","LAL","L"
21500423,"2015-12-23","CHA vs. BOS","CHA","BOS","L"
21500424,"2015-12-23","CLE vs. NYK","CLE","NYK","W"
21500425,"2015-12-23","IND vs. SAC","IND","SAC","L"
