PLAYER_ID,PLAYER_NAME_LAST_FIRST,TEAM_NAME,TEAM_ID,PASS_TYPE,G,PASS_FROM,PASS_TEAMMATE_PLAYER_ID,FREQUENCY,PASS,AST,FGM,FGA,FG_PCT,FG2M,FG2A,FG2_PCT,FG3M,FG3A,FG3_PCT
201952.0,"Teague, Jeff",Atlanta Hawks,1610612737.0,received,78.0,"Scott, Mike",203118.0,0.037,2.36,0.1,0.27,0.53,0.512,0.19,0.38,0.5,0.08,0.14,0.545
201952.0,"Teague, Jeff",Atlanta Hawks,1610612737.0,received,78.0,"Muscala, Mike",203488.0,0.034,2.17,0.04,0.15,0.33,0.462,0.1,0.24,0.421,0.05,0.09,0.571
201952.0,"Teague, Jeff",Atlanta Hawks,1610612737.0,received,78.0,"Splitter, Tiago",201168.0,0.03,1.88,0.01,0.05,0.27,0.19,0.04,0.21,0.188,0.01,0.06,0.2
201952.0,"Teague, Jeff",Atlanta Hawks,1610612737.0,received,78.0,"Humphries, Kris",2743.0,0.022,1.38,0.01,0.13,0.29,0.435,0.1,0.23,0.444,0.03,0.06,0.4
201952.0,"Teague, Jeff",Atlanta Hawks,1610612737.0,received,78.0,"Schroder, Dennis",203471.0,0.013,0.81,0.03,0.06,0.14,0.455,0.05,0.1,0.5,0.01,0.04,0.333
201952.0,"Teague, Jeff",Atlanta Hawks,1610612737.0,received,78.0,"Hardaway Jr., Tim",203501.0,0.012,0.74,0.03,0.04,0.1,0.375,0.01,0.06,0.2,0.03,0.04,0.667
201952.0,"Teague, Jeff",Atlanta Hawks,1610612737.0,received,78.0,"Patterson, Lamar",203934.0,0.007,0.42,0.01,0.04,0.08,0.5,0.03,0.04,0.667,0.01,0.04,0.333
201952.0,"Teague, Jeff",Atlanta Hawks,1610612737.0,received,78.0,"Holiday, Justin",203200.0,0.005,0.31,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,
201952.0,"Teague, Jeff",Atlanta Hawks,1610612737.0,received,78.0,"Tavares, Walter",204002.0,0.002,0.15,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.0,
201952.0,"Teague, Jeff",Atlanta Hawks,1610612737.0,received,78.0,"Mack, Shelvin",202714.0,0.0,0.01,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,
201952.0,"Teague, Jeff",Atlanta Hawks,1610612737.0,received,78.0,"Hinrich, Kirk",2550.0,0.0,0.01,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,
203200.0,"Holiday, Justin",Atlanta Hawks,1610612737.0,received,51.0,"Schroder, Dennis",203471.0,0.049,0.67,0.08,0.08,0.2,0.4,0.06,0.08,0.75,0.02,0.12,0.167
203200.0,"Holiday, Justin",Atlanta Hawks,1610612737.0,received,51.0,"Scott, Mike",203118.0,0.045,0.61,0.02,0.02,0.16,0.125,0.02,0.02,1.0,0.0,0.14,0.0
203200.0,"Holiday, Justin",Atlanta Hawks,1610612737.0,received,51.0,"Muscala, Mike",203488.0,0.041,0.55,0.02,0.02,0.08,0.25,0.0,0.02,0.0,0.02,0.06,0.333
203200.0,"Holiday, Justin",Atlanta Hawks,1610612737.0,received,51.0,"Horford, Al",201143.0,0.038,0.51,0.06,0.06,0.22,0.273,0.02,0.08,0.25,0.04,0.14,0.286
203200.0,"Holiday, Justin",Atlanta Hawks,1610612737.0,received,51.0,"Mack, Shelvin",202714.0,0.033,0.45,0.02,0.02,0.14,0.143,0.0,0.04,0.0,0.02,0.1,0.2
203200.0,"Holiday, Justin",Atlanta Hawks,1610612737.0,received,51.0,"Teague, Jeff",201952.0,0.022,0.29,0.04,0.04,0.14,0.286,0.02,0.08,0.25,0.02,0.06,0.333
203200.0,"Holiday, Justin",Atlanta Hawks,1610612737.0,received,51.0,"Millsap, Paul",200794.0,0.022,0.29,0.06,0.06,0.12,0.5,0.02,0.06,0.333,0.04,0.06,0.667
203200.0,"Holiday, Justin",Atlanta Hawks,1610612737.0,received,51.0,"Sefolosha, Thabo",200757.0,0.02,0.27,0.0,0.02,0.04,0.5,0.02,0.02,1.0,0.0,0.02,0.0
203200.0,"Holiday, Justin",Atlanta Hawks,1610612737.0,received,51.0,"Korver, Kyle",2594.0,0.019,0.25,0.06,0.06,0.14,0.429,0.04,0.04,1.0,0.02,0.1,0.2
203200.0,"Holiday, Justin",Atlanta Hawks,1610612737.0,received,51.0,"Patterson, Lamar",203934.0,0.016,0.22,0.06,0.06,0.08,0.75,0.04,0.04,1.0,0.02,0.04,0.5
203200.0,"Holiday, Justin",Atlanta Hawks,1610612737.0,received,51.0,"Hardaway Jr., Tim",203501.0,0.009,0.12,0.0,0.0,0.04,0.0,0.0,0.0,,0.0,0.04,0.0
203200.0,"Holiday, Justin",Atlanta Hawks,1610612737.0,received,51.0,"Splitter, Tiago",201168.0,0.004,0.06,0.0,0.0,0.02,0.0,0.0,0.02,0.0,0.0,0.0,
203200.0,"Holiday, Justin",Atlanta Hawks,1610612737.0,received,51.0,"Tavares, Walter",204002.0,0.003,0.04,0.0,0.02,0.02,1.0,0.02,0.02,1.0,0.0,0.0,
