"game_id","team_id","gameorder","lg_id","X_iscopy","year_id","date_game","seasongame","is_playoffs","elo_i","opp_id","opp_elo_i","game_location","forecast","tm_conference","opp_conference","win_dum","prev_avg_pts","opp_prev_avg_pts","ref_id1","ref_id2","ref_id3","min","fgm","fga","fg_pct","fg3m","fg3a","fg3_pct","ftm","fta","ft_pct","oreb","dreb","reb","ast","stl","blk","to","pf","tm_pts_avg","plus_minus","off_rating","def_rating","net_rating","ast_pct","ast_tov","ast_ratio","oreb_pct","dreb_pct","reb_pct","tm_tov_pct","efg_pct","ts_pct","usg_pct","pace","pie","avg_pie","max_usg","all_start","p1_start","p2_start","p3_start","p4_start","p5_start","away_streak","home_streak","loss_streak","win_streak","back_to_back","attendance","game_time"
21500026,"ATL",26,"NBA",0,2015,2015-10-30,3,0,1557.2544797935,"CHA",1421.03189041305,"H",0.796312703437,"E","E","1",103,94,1198,2001,203592,48,39.5,82.5,0.4785,9,25.5,0.3565,15,20.5,0.746,7,32.5,39.5,24,10,4,15,21.5,103,-0.5,102.8,100.4,2.4,0.607,1.55,18.3,0.171,0.628,0.426,0.155,0.533,0.5615,0.199,101.68,0.526,0.1309,0.305,0,2,2,2,2,0,0,1,0,1,1,17024,2.31666666666667
21500030,"GSW",30,"NBA",1,2015,2015-10-30,2,0,1748.17456979451,"HOU",1600.70939880244,"A",0.566181769647549,"W","W","1",111,85,1193,1830,202026,48,41,96,0.427,9,30,0.3,20,22,0.909,21,35,56,29,8,7,20,29,111,16,106,89.7,16.3,0.707,1.45,18.7,0.457,0.814,0.629,0.191,0.474,0.525,0.2,105.28,0.625,0.1352,0.341,0,1,1,0,1,1,1,0,0,1,0,18142,2.35
21500031,"LAL",31,"NBA",1,2015,2015-10-30,2,0,1336.28924147505,"SAC",1437.70458229908,"A",0.239219713600884,"W","W","0",111,104,1164,2714,202000,48,35,90,0.389,9,34,0.265,32,35,0.914,12,36,48,18,2,4,13,29,111,-1,103.4,110.6,-7.2,0.514,1.29,13.1,0.267,0.857,0.552,0.13,0.439,0.527,0.198,104.34,0.446,0.0954,0.358,1,1,1,1,1,1,1,0,1,0,0,17391,2.23333333333333
21500032,"POR",32,"NBA",1,2015,2015-10-30,2,0,1557.49614254296,"PHX",1467.51168688973,"A",0.482011210267192,"W","W","0",112,95,2004,2882,203177,48,44,88,0.5,12,32,0.375,12,14,0.857,6,45,51,22,7,4,12,21,112,18,111.8,89.6,22.2,0.5,1.83,17.2,0.15,0.9,0.567,0.12,0.568,0.595,0.2,102.54,0.624,0.1458,0.327,1,1,1,1,1,1,1,0,0,1,0,18055,2.65
21500033,"IND",33,"NBA",0,2015,2015-10-31,3,0,1496.03307209034,"UTA",1548.18987997167,"H",0.559996848087687,"E","W","0",101,93,1179,1195,201246,48,34.5,82,0.423,10.5,26.5,0.3955,21.5,27.5,0.7735,9,30,39,23,10.5,3.5,16.5,26,101,-8,99.55,106.45,-6.85,0.6705,1.46,17.25,0.2065,0.74,0.4595,0.1635,0.4875,0.5395,0.2,102.28,0.4545,0.0909,0.2785,1,1,2,2,2,2,0,2,2,0,0,14412,2.21666666666667
21500034,"WAS",34,"NBA",0,2015,2015-10-31,3,0,1542.43716701054,"NYK",1343.95758277336,"H",0.845594488557209,"E","E","0",103,111.5,1664,2534,202041,48,34,76,0.454,9.5,24.5,0.4105,25.5,34.5,0.709,11.5,31.5,43,21,7.5,7,19,17,103,3,103.7,95.85,7.85,0.6145,1.065,15.9,0.2565,0.748,0.5015,0.1965,0.519,0.569,0.199,101.74,0.525,0.112,0.314,2,2,2,2,2,2,0,1,0,2,1,20356,2.63333333333333
21500036,"BKN",36,"NBA",1,2015,2015-10-31,3,0,1452.41111964509,"MEM",1573.87086800153,"A",0.21951683398867,"E","W","0",87.5,94,2529,201638,202053,48,35,85,0.411,2.5,12.5,0.1565,15,21.5,0.6595,9,29.5,38.5,18,8.5,5.5,14,17.5,87.5,-21,87.65,108.7,-20.95,0.5175,1.295,14.25,0.1815,0.7835,0.45,0.141,0.427,0.462,0.2,99.61,0.3765,0.0553333333333333,0.256,0,2,2,2,0,1,2,0,2,0,1,16013,2.26666666666667
21500037,"PHX",37,"NBA",1,2015,2015-10-31,3,0,1488.08171680554,"POR",1543.89120528685,"A",0.28284399525445,"W","W","1",102.5,102,1148,1151,200833,48,35.5,85,0.4185,5,21,0.236,26.5,37.5,0.699,12,42,54,16,8,5,18.5,23.5,102.5,1,94.4,98.4,-4,0.45,0.84,11.75,0.249,0.835,0.546,0.175,0.4475,0.505,0.199,106,0.5065,0.0534,0.24,2,2,2,2,2,2,1,0,0,1,1,17906,2.16666666666667
21500038,"LAC",38,"NBA",0,2015,2015-10-31,3,0,1660.05270449357,"SAC",1447.79295974651,"H",0.860090284966272,"W","W","1",107.5,118,1199,2148,200832,48,40,83.5,0.481,7,25,0.287,20.5,32,0.6415,7,40.5,47.5,20.5,7,8.5,11.5,18,107.5,11.5,105.25,91.1,14.25,0.5145,1.98,15.8,0.1515,0.7565,0.4765,0.1125,0.523,0.5525,0.2,103.67,0.5965,0.1383,0.3345,2,2,2,2,2,2,0,2,0,2,0,19060,2.58333333333333
21500039,"CHA",39,"NBA",0,2015,2015-11-01,3,0,1421.03189041305,"ATL",1560.41456615287,"H",0.444446492649604,"E","E","0",94,103,1153,1363,203593,48,34.5,86,0.401,9,27,0.325,16,21,0.764,12,36.5,48.5,19.5,5.5,3.5,13,18,94,-6.5,96.25,104.4,-8.15,0.562,1.465,14.95,0.24,0.889,0.5285,0.147,0.453,0.4935,0.197,97.1,0.442,0.0831,0.2655,2,2,2,2,2,2,0,1,2,0,0,18691,2.13333333333333
