"game_id","team_id","gameorder","lg_id","X_iscopy","year_id","date_game","seasongame","is_playoffs","pts","elo_i","elo_n","opp_id","opp_pts","opp_elo_i","opp_elo_n","game_location","forecast","tm_conference","opp_conference","win_dum","prev_avg_pts","opp_prev_avg_pts","ref_id1","ref_id2","ref_id3","min","fgm","fga","fg_pct","fg3m","fg3a","fg3_pct","ftm","fta","ft_pct","oreb","dreb","reb","ast","stl","blk","to","pf","tm_pts_avg","plus_minus","off_rating","def_rating","net_rating","ast_pct","ast_tov","ast_ratio","oreb_pct","dreb_pct","reb_pct","tm_tov_pct","efg_pct","ts_pct","usg_pct","pace","pie","avg_pie","max_usg","all_start","p1_start","p2_start","p3_start","p4_start","p5_start","away_streak","home_streak","loss_streak","win_streak","back_to_back","attendance","game_time"
21500017,"MIN",17,"NBA",1,2015,"2015-10-28",1,0,112,1324.2185,1328.47782373718,"LAL",111,1338.679625,1336.28924147505,"A",0.340988731968656,"W","W",1,112,111,1194,1664,202037,48,38,83,0.458,5,20,0.25,31,37,0.838,6,33,39,24,3,4,8,26,112,1,110.6,103.4,7.2,0.632,3,18.3,0.143,0.733,0.448,0.079,0.488,0.564,0.2,104.34,0.554,0.1354,0.284,0,0,0,0,0,0,1,0,0,0,0,18997,2.58333333333333
21500018,"IND",18,"NBA",0,2015,"2015-10-29",2,0,103,1500.83343323747,1496.03307209034,"MEM",112,1566.34539527342,1573.87086800153,"H",0.556260138040354,"E","W",0,99,76,1162,201639,202049,48,32,86,0.372,9,23,0.391,26,31,0.839,8,32,40,23,14,3,13,30,99,-7,94.6,97.1,-2.5,0.719,1.77,17,0.163,0.78,0.444,0.124,0.424,0.497,0.2,106.9,0.477,0.0994,0.278,0,1,0,1,1,1,0,1,1,0,1,18165,2.3
21500018,"MEM",18,"NBA",1,2015,"2015-10-29",2,0,112,1566.34539527342,1573.87086800153,"IND",103,1500.83343323747,1496.03307209034,"A",0.443739861959646,"W","E",1,76,99,1162,201639,202049,48,29,82,0.354,2,16,0.125,16,22,0.727,11,29,40,15,8,3,16,18,76,-30,78.6,107.6,-29,0.517,0.94,12.2,0.208,0.707,0.426,0.165,0.366,0.414,0.2,97.58,0.3,0.1002,0.233,0,0,1,1,1,1,1,0,1,0,1,18165,2.3
21500019,"ATL",19,"NBA",1,2015,"2015-10-29",2,0,112,1552.80506127878,1557.2544797935,"NYK",101,1347.91616967044,1343.95758277336,"A",0.634464516952138,"E","E",1,94,122,1146,1201,202058,48,37,82,0.451,8,27,0.296,12,15,0.8,7,33,40,22,9,4,15,25,94,-12,97.3,106.6,-9.3,0.595,1.47,17.5,0.163,0.589,0.404,0.155,0.5,0.53,0.2,98.02,0.462,0.0692,0.341,1,1,1,1,1,1,1,0,1,0,0,19812,2.36666666666667
21500019,"NYK",19,"NBA",0,2015,"2015-10-29",2,0,101,1347.91616967044,1343.95758277336,"ATL",112,1552.80506127878,1557.2544797935,"H",0.365535483047862,"E","E",0,122,94,1146,1201,202058,48,42,93,0.452,9,23,0.391,29,35,0.829,19,30,49,24,11,7,11,28,122,25,121.5,97.4,24.2,0.571,2.18,16.7,0.396,0.625,0.51,0.11,0.5,0.563,0.2,100.02,0.646,0.0742,0.294,1,1,1,1,1,1,0,1,0,1,1,19812,2.36666666666667
21500020,"DAL",20,"NBA",1,2015,"2015-10-29",2,0,88,1554.47506941081,1546.26446631067,"LAC",104,1650.51695733361,1660.05270449357,"A",0.247566847275468,"W","W",0,111,111,1148,1151,200833,48,40,85,0.471,10,21,0.476,21,31,0.677,6,42,48,24,7,3,8,25,111,16,110.3,89.2,21.1,0.6,3,18.4,0.13,0.764,0.475,0.079,0.529,0.563,0.2,103.58,0.677,0.1108,0.23,0,0,1,1,0,1,2,0,0,1,1,19218,2.4
21500020,"LAC",20,"NBA",0,2015,"2015-10-29",2,0,104,1650.51695733361,1660.05270449357,"DAL",88,1554.47506941081,1546.26446631067,"H",0.752433152724532,"W","W",1,111,111,1148,1151,200833,48,42,80,0.525,6,19,0.316,21,31,0.677,6,36,42,20,8,9,15,19,111,7,108.1,96.4,11.8,0.476,1.33,15.5,0.14,0.75,0.462,0.146,0.563,0.593,0.2,105.28,0.571,0.1246,0.285,1,1,1,1,1,1,0,1,0,1,1,19218,2.4
21500021,"CLE",21,"NBA",0,2015,"2015-10-30",3,0,102,1660.9920742032,1665.65029075752,"MIA",92,1477.00047665419,1473.18165476428,"H",0.845462295668593,"E","E",1,100.5,98,1152,1179,202027,48,39.5,89,0.446,11,29,0.379,10.5,17,0.6175,11.5,40.5,52,27.5,6,4.5,14.5,23,100.5,14,100.6,86.35,14.25,0.6955,1.945,19.8,0.2545,0.82,0.5445,0.1505,0.5085,0.5235,0.199,99.94,0.6105,0.1196,0.279,2,2,2,2,2,2,0,1,0,1,0,20562,2.28333333333333
21500021,"MIA",21,"NBA",1,2015,"2015-10-30",2,0,92,1477.00047665419,1473.18165476428,"CLE",102,1660.9920742032,1665.65029075752,"A",0.154537704331407,"E","E",0,104,95,1152,1179,202027,48,36,73,0.493,12,20,0.6,20,21,0.952,2,39,41,23,5,7,13,25,104,10,111.5,99.2,12.3,0.639,1.77,19.5,0.059,0.78,0.488,0.139,0.575,0.632,0.2,94,0.591,0.1136,0.336,1,1,1,1,1,1,1,0,0,1,0,20562,2.28333333333333
21500022,"OKC",22,"NBA",1,2015,"2015-10-30",2,0,139,1574.53563005451,1576.67183726266,"ORL",136,1358.72762475879,1358.72762475879,"A",0.657469951805596,"W","E",1,112,87,1153,1168,203593,58,42,86,0.488,7,19,0.368,21,22,0.955,11,34,45,21,7,4,19,19,112,6,108,101.2,6.8,0.5,1.11,15.5,0.275,0.829,0.556,0.183,0.529,0.585,0.2,104.2,0.509,0.0944,0.359,1,1,1,1,1,1,1,0,0,1,0,18846,3.11666666666667
21500022,"ORL",22,"NBA",0,2015,"2015-10-30",2,0,136,1358.72762475879,1358.72762475879,"OKC",139,1574.53563005451,1576.67183726266,"H",0.342530048194404,"E","W",0,87,112,1153,1168,203593,58,37,100,0.37,5,26,0.192,8,12,0.667,17,39,56,20,9,6,14,22,87,-1,83.4,89.8,-6.4,0.541,1.25,14.2,0.333,0.722,0.533,0.153,0.395,0.413,0.197,101.14,0.482,0.1144,0.242,1,1,1,1,1,1,0,2,1,0,0,18846,3.11666666666667
21500023,"PHI",23,"NBA",0,2015,"2015-10-30",2,0,71,1326.7936834655,1317.22872070824,"UTA",99,1540.14154389668,1548.18987997167,"H",0.344362855604536,"E","W",0,95,87,2530,200834,204058,48,34,83,0.41,7,22,0.318,20,23,0.87,14,32,46,12,11,6,22,22,95,-17,92.1,107.8,-15.7,0.353,0.5,9.3,0.311,0.762,0.529,0.233,0.452,0.51,0.197,103.5,0.37,0.0834,0.286,1,1,1,1,1,1,0,1,1,0,0,17122,2.25
21500023,"UTA",23,"NBA",1,2015,"2015-10-30",2,0,99,1540.14154389668,1548.18987997167,"PHI",71,1326.7936834655,1317.22872070824,"A",0.655637144395464,"W","E",1,87,95,2530,200834,204058,48,35,75,0.467,2,12,0.167,15,21,0.714,4,34,38,15,4,5,12,25,87,-5,94.3,99,-4.6,0.429,1.25,13.5,0.103,0.81,0.469,0.13,0.48,0.516,0.2,92.6,0.482,0.113,0.283,1,1,1,1,1,1,2,0,1,0,0,17122,2.25
21500024,"BOS",24,"NBA",0,2015,"2015-10-30",2,0,103,1526.17882283393,1519.64553171702,"TOR",113,1510.06237877608,1521.06275992456,"H",0.661371253360828,"E","E",0,112,106,1147,2715,204059,48,39,85,0.459,8,24,0.333,26,27,0.963,10,31,41,31,10,7,17,23,112,17,107.8,92.1,15.7,0.795,1.82,21.4,0.238,0.689,0.471,0.164,0.506,0.578,0.2,103.5,0.63,0.0788,0.24,1,1,1,1,1,1,0,2,0,1,0,16898,2.48333333333333
21500024,"TOR",24,"NBA",1,2015,"2015-10-30",2,0,113,1510.06237877608,1521.06275992456,"BOS",103,1526.17882283393,1519.64553171702,"A",0.338628746639172,"E","E",1,106,112,1147,2715,204059,48,36,80,0.45,7,18,0.389,27,39,0.692,9,41,50,19,8,2,20,24,106,7,97.1,94.6,2.5,0.528,0.9,13.9,0.22,0.837,0.556,0.192,0.494,0.545,0.198,106.9,0.523,0.1308,0.3,1,1,1,1,1,1,1,0,0,1,0,16898,2.48333333333333
21500025,"CHI",25,"NBA",1,2015,"2015-10-30",3,0,94,1584.51095097038,1582.95588017914,"DET",98,1496.28053282052,1504.77702167478,"A",0.483862716950179,"E","E",0,106,99,1174,1363,201245,53,39.5,82.5,0.4815,10.5,23.5,0.434,16.5,21.5,0.773,6,37,43,16.5,7.5,6.5,16,23,106,8.5,103.55,95.65,7.85,0.4135,1,13.2,0.1495,0.732,0.4745,0.161,0.547,0.5805,0.199,102.18,0.5185,0.1167,0.29,2,2,2,2,2,2,2,0,0,2,0,16035,2.55
