"gameorder","game_id","lg_id","X_iscopy","year_id","date_game","seasongame","is_playoffs","team_id","fran_id","pts","elo_i","elo_n","win_equiv","opp_id","opp_fran","opp_pts","opp_elo_i","opp_elo_n","game_location","game_result","forecast","tm_conference","opp_conference","win_dum","prev_avg_pts","opp_prev_avg_pts"
21,21500021,"NBA",0,2015,"2015-10-30",3,0,"CLE",NA,102,1669.09554585903,1671.69018199664,NA,"MIA",NA,92,1473.87163064356,1471.31251388104,"H","W",0.845462295668593,"E","E",1,100.5,98
21,21500021,"NBA",1,2015,"2015-10-30",2,0,"MIA",NA,92,1473.87163064356,1471.31251388104,NA,"CLE",NA,102,1669.09554585903,1671.69018199664,"A","L",0.154537704331407,"E","E",0,104,95
22,21500022,"NBA",0,2015,"2015-10-30",2,0,"ORL",NA,136,1358.22735073024,1358.22735073024,NA,"OKC",NA,139,1571.49824412864,1575.00993484002,"H","L",0.342530048194404,"E","W",0,87,112
22,21500022,"NBA",1,2015,"2015-10-30",2,0,"OKC",NA,139,1571.49824412864,1575.00993484002,NA,"ORL",NA,136,1358.22735073024,1358.22735073024,"A","W",0.657469951805596,"W","E",1,112,87
23,21500023,"NBA",0,2015,"2015-10-30",2,0,"PHI",NA,71,1328.78202776407,1315.53705876877,NA,"UTA",NA,99,1540.64092758442,1553.78870331833,"H","L",0.344362855604536,"E","W",0,95,87
23,21500023,"NBA",1,2015,"2015-10-30",2,0,"UTA",NA,99,1540.64092758442,1553.78870331833,NA,"PHI",NA,71,1328.78202776407,1315.53705876877,"A","W",0.655637144395464,"W","E",1,87,95
24,21500024,"NBA",0,2015,"2015-10-30",2,0,"BOS",NA,103,1523.52524158414,1515.87174226304,NA,"TOR",NA,113,1507.2366451358,1522.37142910685,"H","L",0.661371253360828,"E","E",0,112,106
24,21500024,"NBA",1,2015,"2015-10-30",2,0,"TOR",NA,113,1507.2366451358,1522.37142910685,NA,"BOS",NA,103,1523.52524158414,1515.87174226304,"A","W",0.338628746639172,"E","E",1,106,112
25,21500025,"NBA",0,2015,"2015-10-30",3,0,"DET",NA,98,1498.4081085791,1504.47392751182,NA,"CHI",NA,94,1587.19087992649,1585.88889562345,"H","W",0.516137283049821,"E","E",1,99,106
25,21500025,"NBA",1,2015,"2015-10-30",3,0,"CHI",NA,94,1587.19087992649,1585.88889562345,NA,"DET",NA,98,1498.4081085791,1504.47392751182,"A","L",0.483862716950179,"E","E",0,106,99
